k,method_a,method_b,miss_jaccard,hit_jaccard,cohen_kappa,miss_a,miss_b,miss_intersection,miss_union,rescue_a_to_b,rescue_b_to_a,complementarity_a_to_b,complementarity_b_to_a
3,Proposed,Proposed-v2,0.8065,0.7333,0.7391,57,55,50,62,7,5,0.1129,0.0806
3,Proposed,Qwen3-VL-Rerank-ImgCap+Link,0.5205,0.386,0.2424,57,54,38,73,19,16,0.2603,0.2192
3,Proposed,Qwen3-VL-Rerank-ImgCap,0.5325,0.3333,0.1964,57,61,41,77,16,20,0.2078,0.2597
3,Proposed,Qwen3-VL-Rerank-Img,0.4933,0.3448,0.1739,57,55,37,75,20,18,0.2667,0.24
3,Proposed,Layout-Order,0.7164,0.5957,0.5815,57,58,48,67,9,10,0.1343,0.1493
3,Proposed,Caption-BM25,0.5176,0.1961,0.0376,57,72,44,85,13,28,0.1529,0.3294
3,Proposed,Caption-Dense-v4,0.5529,0.2083,0.0952,57,75,47,85,10,28,0.1176,0.3294
3,Proposed,Zero-shot-CLIP,0.5244,0.25,0.1014,57,68,43,82,14,25,0.1707,0.3049
3,Proposed-v2,Qwen3-VL-Rerank-ImgCap+Link,0.5571,0.4464,0.333,55,54,39,70,16,15,0.2286,0.2143
3,Proposed-v2,Qwen3-VL-Rerank-ImgCap,0.5467,0.3704,0.2506,55,61,41,75,14,20,0.1867,0.2667
3,Proposed-v2,Qwen3-VL-Rerank-Img,0.5278,0.4035,0.2659,55,55,38,72,17,17,0.2361,0.2361
3,Proposed-v2,Layout-Order,0.8226,0.75,0.76,55,58,51,62,4,7,0.0645,0.1129
3,Proposed-v2,Caption-BM25,0.4941,0.1887,0.0145,55,72,42,85,13,30,0.1529,0.3529
3,Proposed-v2,Caption-Dense-v4,0.5663,0.25,0.1659,55,75,47,83,8,28,0.0964,0.3373
3,Proposed-v2,Zero-shot-CLIP,0.5185,0.2642,0.1189,55,68,42,81,13,26,0.1605,0.321
3,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap,0.6197,0.4706,0.4086,54,61,44,71,10,17,0.1408,0.2394
3,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-Img,0.7302,0.6531,0.6342,54,55,46,63,8,9,0.127,0.1429
3,Qwen3-VL-Rerank-ImgCap+Link,Layout-Order,0.6,0.4717,0.3921,54,58,42,70,12,16,0.1714,0.2286
3,Qwen3-VL-Rerank-ImgCap+Link,Caption-BM25,0.5366,0.2549,0.1392,54,72,44,82,10,28,0.122,0.3415
3,Qwen3-VL-Rerank-ImgCap+Link,Caption-Dense-v4,0.5732,0.2708,0.1998,54,75,47,82,7,28,0.0854,0.3415
