k,method_a,method_b,miss_jaccard,hit_jaccard,cohen_kappa,miss_a,miss_b,miss_intersection,miss_union,rescue_a_to_b,rescue_b_to_a,complementarity_a_to_b,complementarity_b_to_a
4,Proposed,Proposed-v2,0.7455,0.7407,0.7052,48,48,41,55,7,7,0.1273,0.1273
4,Proposed,Qwen3-VL-Rerank-ImgCap+Link,0.4677,0.5,0.306,48,43,29,62,19,14,0.3065,0.2258
4,Proposed,Qwen3-VL-Rerank-ImgCap,0.5,0.4677,0.3047,48,51,33,66,15,18,0.2273,0.2727
4,Proposed,Qwen3-VL-Rerank-Img,0.4394,0.4394,0.2211,48,47,29,66,19,18,0.2879,0.2727
4,Proposed,Layout-Order,0.678,0.6545,0.5997,48,51,40,59,8,11,0.1356,0.1864
4,Proposed,Caption-BM25,0.4935,0.3158,0.1754,48,67,38,77,10,29,0.1299,0.3766
4,Proposed,Caption-Dense-v4,0.4875,0.2679,0.1323,48,71,39,80,9,32,0.1125,0.4
4,Proposed,Zero-shot-CLIP,0.4156,0.2857,0.0498,48,61,32,77,16,29,0.2078,0.3766
4,Proposed-v2,Qwen3-VL-Rerank-ImgCap+Link,0.4918,0.5231,0.348,48,43,30,61,18,13,0.2951,0.2131
4,Proposed-v2,Qwen3-VL-Rerank-ImgCap,0.4776,0.4444,0.2626,48,51,32,67,16,19,0.2388,0.2836
4,Proposed-v2,Qwen3-VL-Rerank-Img,0.4615,0.4615,0.2632,48,47,30,65,18,17,0.2769,0.2615
4,Proposed-v2,Layout-Order,0.7368,0.717,0.684,48,51,42,57,6,9,0.1053,0.1579
4,Proposed-v2,Caption-BM25,0.4375,0.25,0.0485,48,67,35,80,13,32,0.1625,0.4
4,Proposed-v2,Caption-Dense-v4,0.4875,0.2679,0.1323,48,71,39,80,9,32,0.1125,0.4
4,Proposed-v2,Zero-shot-CLIP,0.3974,0.2656,0.0076,48,61,31,78,17,30,0.2179,0.3846
4,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap,0.541,0.5484,0.4146,43,51,33,61,10,18,0.1639,0.2951
4,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-Img,0.7647,0.7857,0.7471,43,47,39,51,4,8,0.0784,0.1569
4,Qwen3-VL-Rerank-ImgCap+Link,Layout-Order,0.4462,0.4545,0.2474,43,51,29,65,14,22,0.2154,0.3385
4,Qwen3-VL-Rerank-ImgCap+Link,Caption-BM25,0.4286,0.2903,0.1084,43,67,33,77,10,34,0.1299,0.4416
4,Qwen3-VL-Rerank-ImgCap+Link,Caption-Dense-v4,0.4805,0.3103,0.1956,43,71,37,77,6,34,0.0779,0.4416
4,Qwen3-VL-Rerank-ImgCap+Link,Zero-shot-CLIP,0.3506,0.2647,-0.025,43,61,27,77,16,34,0.2078,0.4416
4,Qwen3-VL-Rerank-ImgCap,Qwen3-VL-Rerank-Img,0.6066,0.5862,0.4951,51,47,37,61,14,10,0.2295,0.1639
4,Qwen3-VL-Rerank-ImgCap,Layout-Order,0.5692,0.5172,0.4073,51,51,37,65,14,14,0.2154,0.2154
4,Qwen3-VL-Rerank-ImgCap,Caption-BM25,0.5526,0.3585,0.2619,51,67,42,76,9,25,0.1184,0.3289
4,Qwen3-VL-Rerank-ImgCap,Caption-Dense-v4,0.5443,0.3077,0.2134,51,71,43,79,8,28,0.1013,0.3544
4,Qwen3-VL-Rerank-ImgCap,Zero-shot-CLIP,0.4359,0.2787,0.0539,51,61,34,78,17,27,0.2179,0.3462
4,Qwen3-VL-Rerank-Img,Layout-Order,0.4627,0.4375,0.2427,47,51,31,67,16,20,0.2388,0.2985
4,Qwen3-VL-Rerank-Img,Caption-BM25,0.443,0.2667,0.0777,47,67,35,79,12,32,0.1519,0.4051
4,Qwen3-VL-Rerank-Img,Caption-Dense-v4,0.5325,0.3333,0.246,47,71,41,77,6,30,0.0779,0.3896
4,Qwen3-VL-Rerank-Img,Zero-shot-CLIP,0.4026,0.2812,0.0345,47,61,31,77,16,30,0.2078,0.3896
4,Layout-Order,Caption-BM25,0.475,0.2632,0.0882,51,67,38,80,13,29,0.1625,0.3625
4,Layout-Order,Caption-Dense-v4,0.525,0.283,0.1697,51,71,42,80,9,29,0.1125,0.3625
4,Layout-Order,Zero-shot-CLIP,0.4545,0.3,0.0969,51,61,35,77,16,26,0.2078,0.3377
4,Caption-BM25,Caption-Dense-v4,0.6235,0.2381,0.1546,67,71,53,85,14,18,0.1647,0.2118
4,Caption-BM25,Zero-shot-CLIP,0.5422,0.24,0.0943,67,61,45,83,22,16,0.2651,0.1928
4,Caption-Dense-v4,Zero-shot-CLIP,0.5349,0.1837,0.0201,71,61,46,86,25,15,0.2907,0.1744
