method,bucket,k,n_gt,miss,miss_rate
Proposed,framework,5,22,7,0.3182
Proposed,other,5,42,23,0.5476
Proposed,result_plot,5,8,1,0.125
Proposed,schematic,5,22,11,0.5
Proposed,type_penalized,5,1,1,1.0
Proposed-v2,framework,5,22,4,0.1818
Proposed-v2,other,5,42,21,0.5
Proposed-v2,result_plot,5,8,3,0.375
Proposed-v2,schematic,5,22,11,0.5
Proposed-v2,type_penalized,5,1,1,1.0
Qwen3-VL-Rerank-ImgCap+Link,framework,5,22,6,0.2727
Qwen3-VL-Rerank-ImgCap+Link,other,5,42,18,0.4286
Qwen3-VL-Rerank-ImgCap+Link,result_plot,5,8,5,0.625
Qwen3-VL-Rerank-ImgCap+Link,schematic,5,22,8,0.3636
Qwen3-VL-Rerank-ImgCap+Link,type_penalized,5,1,1,1.0
Qwen3-VL-Rerank-ImgCap,framework,5,22,10,0.4545
Qwen3-VL-Rerank-ImgCap,other,5,42,21,0.5
Qwen3-VL-Rerank-ImgCap,result_plot,5,8,4,0.5
Qwen3-VL-Rerank-ImgCap,schematic,5,22,12,0.5455
Qwen3-VL-Rerank-ImgCap,type_penalized,5,1,0,0.0
Qwen3-VL-Rerank-Img,framework,5,22,6,0.2727
Qwen3-VL-Rerank-Img,other,5,42,20,0.4762
Qwen3-VL-Rerank-Img,result_plot,5,8,5,0.625
Qwen3-VL-Rerank-Img,schematic,5,22,8,0.3636
Qwen3-VL-Rerank-Img,type_penalized,5,1,1,1.0
