union_name,methods,k,ir@k,papers_full_recall,n_papers,gt_hits,gt_total
Proposed,Proposed,3,0.4,6,31,38,95
Proposed,Proposed,4,0.4947,8,31,47,95
Proposed,Proposed,5,0.5474,11,31,52,95
Proposed,Proposed,6,0.6,14,31,57,95
Proposed,Proposed,7,0.6211,14,31,59,95
Proposed-v2,Proposed-v2,3,0.4211,6,31,40,95
Proposed-v2,Proposed-v2,4,0.4947,7,31,47,95
Proposed-v2,Proposed-v2,5,0.5789,8,31,55,95
Proposed-v2,Proposed-v2,6,0.6316,12,31,60,95
Proposed-v2,Proposed-v2,7,0.6632,13,31,63,95
Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap+Link,3,0.4316,6,31,41,95
Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap+Link,4,0.5474,9,31,52,95
Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap+Link,5,0.6,11,31,57,95
Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap+Link,6,0.6421,13,31,61,95
Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap+Link,7,0.6947,13,31,66,95
Layout-Order,Layout-Order,3,0.3895,4,31,37,95
Layout-Order,Layout-Order,4,0.4632,6,31,44,95
Layout-Order,Layout-Order,5,0.5368,8,31,51,95
Layout-Order,Layout-Order,6,0.5895,10,31,56,95
Layout-Order,Layout-Order,7,0.6211,11,31,59,95
Proposed+Proposed-v2,Proposed+Proposed-v2,3,0.4737,8,31,45,95
Proposed+Proposed-v2,Proposed+Proposed-v2,4,0.5684,10,31,54,95
Proposed+Proposed-v2,Proposed+Proposed-v2,5,0.6526,13,31,62,95
Proposed+Proposed-v2,Proposed+Proposed-v2,6,0.6842,15,31,65,95
Proposed+Proposed-v2,Proposed+Proposed-v2,7,0.7053,15,31,67,95
Proposed+QwenLink,Proposed+Qwen3-VL-Rerank-ImgCap+Link,3,0.6,11,31,57,95
Proposed+QwenLink,Proposed+Qwen3-VL-Rerank-ImgCap+Link,4,0.6947,12,31,66,95
Proposed+QwenLink,Proposed+Qwen3-VL-Rerank-ImgCap+Link,5,0.7368,15,31,70,95
Proposed+QwenLink,Proposed+Qwen3-VL-Rerank-ImgCap+Link,6,0.7895,18,31,75,95
Proposed+QwenLink,Proposed+Qwen3-VL-Rerank-ImgCap+Link,7,0.8105,19,31,77,95
Proposed+Layout,Proposed+Layout-Order,3,0.4947,8,31,47,95
Proposed+Layout,Proposed+Layout-Order,4,0.5789,9,31,55,95
Proposed+Layout,Proposed+Layout-Order,5,0.6737,12,31,64,95
Proposed+Layout,Proposed+Layout-Order,6,0.7158,15,31,68,95
Proposed+Layout,Proposed+Layout-Order,7,0.7474,16,31,71,95
Proposed+Qwen+Layout,Proposed+Qwen3-VL-Rerank-ImgCap+Link+Layout-Order,3,0.6316,12,31,60,95
Proposed+Qwen+Layout,Proposed+Qwen3-VL-Rerank-ImgCap+Link+Layout-Order,4,0.7263,12,31,69,95
Proposed+Qwen+Layout,Proposed+Qwen3-VL-Rerank-ImgCap+Link+Layout-Order,5,0.7895,16,31,75,95
Proposed+Qwen+Layout,Proposed+Qwen3-VL-Rerank-ImgCap+Link+Layout-Order,6,0.8211,19,31,78,95
Proposed+Qwen+Layout,Proposed+Qwen3-VL-Rerank-ImgCap+Link+Layout-Order,7,0.8526,21,31,81,95
