group_name,k,n_papers,actual_budget_mean,actual_budget_median,actual_budget_p25,actual_budget_p75,actual_budget_min,actual_budget_max,compression_ratio_mean,compression_ratio_median,pool_gt_recall_micro,union_gain_mean,pairwise_pool_jaccard_mean
BM25+CLIP,3,31,5.13,5.0,5.0,6.0,3,6,0.8548,0.8333,0.4421,0.0739,0.2129
BM25+CLIP,4,31,6.58,7.0,6.0,7.0,4,8,0.8226,0.875,0.5263,0.0739,0.2618
BM25+CLIP,5,31,8.03,9.0,7.0,9.0,5,10,0.8032,0.9,0.6211,0.0968,0.2897
BM25+CLIP,6,31,9.06,9.0,8.0,10.5,5,12,0.7554,0.75,0.6211,0.0742,0.3741
BM25+CLIP,7,31,10.13,10.0,9.0,12.0,5,13,0.7235,0.7143,0.7053,0.085,0.427
BM25+Dense,3,31,5.35,5.0,5.0,6.0,4,6,0.8925,0.8333,0.3789,0.0427,0.1387
BM25+Dense,4,31,6.77,7.0,6.0,8.0,5,8,0.8468,0.875,0.4421,0.0664,0.2071
BM25+Dense,5,31,8.19,8.0,7.0,9.5,5,10,0.8194,0.8,0.5158,0.0804,0.2647
BM25+Dense,6,31,9.42,10.0,8.0,11.0,5,12,0.7849,0.8333,0.5579,0.074,0.3224
BM25+Dense,7,31,10.39,11.0,9.0,12.0,5,14,0.7419,0.7857,0.6421,0.0686,0.3991
Caption-BM25,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.2421,0.0,1.0
Caption-BM25,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.2947,0.0,1.0
Caption-BM25,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.3579,0.0,1.0
Caption-BM25,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.4,0.0,1.0
Caption-BM25,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.4842,0.0,1.0
Caption-Dense-v4,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.2105,0.0,1.0
Caption-Dense-v4,4,31,4.0,4.0,4.0,4.0,4,4,1.0,1.0,0.2526,0.0,1.0
Caption-Dense-v4,5,31,5.0,5.0,5.0,5.0,5,5,1.0,1.0,0.3158,0.0,1.0
Caption-Dense-v4,6,31,5.97,6.0,6.0,6.0,5,6,0.9946,1.0,0.3789,0.0,1.0
Caption-Dense-v4,7,31,6.9,7.0,7.0,7.0,5,7,0.9862,1.0,0.4421,0.0,1.0
Dense+CLIP,3,31,5.35,5.0,5.0,6.0,4,6,0.8925,0.8333,0.4316,0.0796,0.1419
Dense+CLIP,4,31,6.9,7.0,6.0,8.0,5,8,0.8629,0.875,0.5158,0.0753,0.184
Dense+CLIP,5,31,8.29,9.0,7.0,9.0,5,10,0.829,0.9,0.6,0.0686,0.2465
Dense+CLIP,6,31,9.13,9.0,8.0,10.5,5,12,0.7608,0.75,0.6211,0.0793,0.3684
Dense+CLIP,7,31,10.19,10.0,9.0,12.0,5,14,0.7281,0.7143,0.6737,0.0363,0.4166
L+BM25,3,31,5.23,5.0,5.0,6.0,4,6,0.871,0.8333,0.5263,0.0712,0.1645
L+BM25,4,31,6.68,7.0,6.0,7.0,5,8,0.8347,0.875,0.6,0.079,0.2184
L+BM25,5,31,7.87,8.0,7.0,9.0,5,10,0.7871,0.8,0.6737,0.0729,0.312
L+BM25,6,31,8.81,9.0,8.0,10.0,5,12,0.7339,0.75,0.7053,0.0621,0.4004
L+BM25,7,31,9.87,10.0,9.0,11.0,5,14,0.7051,0.7143,0.7368,0.0772,0.4643
L+CLIP,3,31,5.1,5.0,5.0,6.0,3,6,0.8495,0.8333,0.5368,0.1153,0.2129
L+CLIP,4,31,6.45,7.0,6.0,7.0,5,8,0.8065,0.875,0.6316,0.1032,0.2682
