k,group_name,method_a,method_b,pool_jaccard_mean,actual_budget_median,actual_budget_mean,union_gain_mean,pool_gt_recall_micro,n_papers
6,BM25+CLIP,Caption-BM25,Zero-shot-CLIP,0.3741,9.0,9.06,0.0742,0.6211,31
6,BM25+Dense,Caption-BM25,Caption-Dense-v4,0.3224,10.0,9.42,0.074,0.5579,31
6,Dense+CLIP,Caption-Dense-v4,Zero-shot-CLIP,0.3684,9.0,9.13,0.0793,0.6211,31
6,L+BM25,Layout-Order,Caption-BM25,0.4004,9.0,8.81,0.0621,0.7053,31
6,L+CLIP,Layout-Order,Zero-shot-CLIP,0.4153,9.0,8.81,0.0699,0.6947,31
6,L+Dense,Layout-Order,Caption-Dense-v4,0.3559,9.0,9.19,0.0433,0.6632,31
6,P+BM25,Proposed,Caption-BM25,0.401,9.0,8.81,0.0403,0.6842,31
6,P+CLIP,Proposed,Zero-shot-CLIP,0.3783,9.0,9.03,0.053,0.7368,31
6,P+Dense,Proposed,Caption-Dense-v4,0.3859,9.0,8.97,0.0366,0.6842,31
6,P+L,Proposed,Layout-Order,0.5235,8.0,8.13,0.0299,0.7158,31
6,P+Pv2,Proposed,Proposed-v2,0.7272,7.0,7.06,0.0,0.6842,31
6,P+Q,Proposed,Qwen3-VL-Rerank-ImgCap,0.4111,8.0,8.84,0.0427,0.7895,31
6,P+Qcap,Proposed,Qwen3-VL-Rerank-ImgCap,0.3855,9.0,9.1,0.0261,0.7263,31
6,P+Qimg,Proposed,Qwen3-VL-Rerank-Img,0.4139,9.0,8.77,0.0151,0.7579,31
6,Pv2+BM25,Proposed-v2,Caption-BM25,0.4085,9.0,8.77,0.0145,0.6842,31
6,Pv2+CLIP,Proposed-v2,Zero-shot-CLIP,0.3746,9.0,9.03,0.1062,0.7789,31
6,Pv2+Dense,Proposed-v2,Caption-Dense-v4,0.376,9.0,9.03,0.0473,0.7158,31
6,Pv2+L,Proposed-v2,Layout-Order,0.6014,8.0,7.71,0.0635,0.7263,31
6,Pv2+Q,Proposed-v2,Qwen3-VL-Rerank-ImgCap,0.4745,8.0,8.45,0.0444,0.7579,31
6,Pv2+Qcap,Proposed-v2,Qwen3-VL-Rerank-ImgCap,0.4064,9.0,8.9,0.0543,0.7368,31
6,Pv2+Qimg,Proposed-v2,Qwen3-VL-Rerank-Img,0.4295,9.0,8.68,0.0543,0.7684,31
6,Q+BM25,Qwen3-VL-Rerank-ImgCap,Link,0.3721,9.0,9.03,0.0403,0.7368,31
6,Q+CLIP,Qwen3-VL-Rerank-ImgCap,Link,0.3816,9.0,8.97,0.0702,0.7895,31
6,Q+Dense,Qwen3-VL-Rerank-ImgCap,Link,0.3607,9.0,9.16,0.0409,0.7368,31
6,Q+L,Qwen3-VL-Rerank-ImgCap,Link,0.4329,8.0,8.68,0.0511,0.7789,31
6,Q+Qcap,Qwen3-VL-Rerank-ImgCap,Link,0.6531,7.0,7.39,0.0191,0.7053,31
6,Q+Qimg,Qwen3-VL-Rerank-ImgCap,Link,0.6423,8.0,7.48,0.0301,0.7158,31
6,Qcap+BM25,Qwen3-VL-Rerank-ImgCap,Caption-BM25,0.3726,9.0,9.06,0.0342,0.6526,31
6,Qcap+CLIP,Qwen3-VL-Rerank-ImgCap,Zero-shot-CLIP,0.3533,9.0,9.19,0.0799,0.6842,31
6,Qcap+Dense,Qwen3-VL-Rerank-ImgCap,Caption-Dense-v4,0.3164,10.0,9.48,0.0535,0.6632,31
6,Qcap+L,Qwen3-VL-Rerank-ImgCap,Layout-Order,0.4409,8.0,8.71,0.0339,0.6947,31
6,Qcap+Qimg,Qwen3-VL-Rerank-ImgCap,Qwen3-VL-Rerank-Img,0.6415,7.0,7.45,0.0065,0.6632,31
6,Qimg+BM25,Qwen3-VL-Rerank-Img,Caption-BM25,0.347,10.0,9.23,0.0449,0.7263,31
6,Qimg+CLIP,Qwen3-VL-Rerank-Img,Zero-shot-CLIP,0.3609,9.0,9.13,0.0756,0.7789,31
6,Qimg+Dense,Qwen3-VL-Rerank-Img,Caption-Dense-v4,0.3544,10.0,9.26,0.0403,0.7053,31
6,Qimg+L,Qwen3-VL-Rerank-Img,Layout-Order,0.4142,9.0,8.77,0.0296,0.7579,31
