paper_id,group_name,k,pairwise_pool_jaccard_mean,union_gain,actual_budget,pool_gt_recall,overlap_median_ref,gain_median_ref,quadrant
2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,Proposed+Qwen+Layout,6,0.2081,0.0,13,1.0,0.4159,0.0,Q3_complementary
2016_G_A028.pdf-6e4c52f4-be1a-43fe-9a4f-f2f6fb479a0c,PRIMARY_ALL_9,6,0.2272,0.0,19,1.0,0.4159,0.0,Q3_complementary
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,Proposed+Qwen+Layout,6,0.3,0.0,11,0.5,0.4159,0.0,Q3_complementary
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,PRIMARY_ALL_9,6,0.274,0.0,15,1.0,0.4159,0.0,Q3_complementary
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,Proposed+Qwen+Layout,6,0.5714,0.0,9,0.6667,0.4159,0.0,Q2_consensus_hit
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,PRIMARY_ALL_9,6,0.3666,0.3333,13,1.0,0.4159,0.0,Q3_complementary
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,Proposed+Qwen+Layout,6,0.5714,0.0,9,1.0,0.4159,0.0,Q2_consensus_hit
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,PRIMARY_ALL_9,6,0.4493,0.0,15,1.0,0.4159,0.0,Q2_consensus_hit
2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,Proposed+Qwen+Layout,6,0.2889,0.0,12,1.0,0.4159,0.0,Q3_complementary
2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,PRIMARY_ALL_9,6,0.3132,0.0,16,1.0,0.4159,0.0,Q3_complementary
2016_G_B067.pdf-f6c8e02c-ac22-49cb-a2f4-6f0cb4726072,Proposed+Qwen+Layout,6,0.3081,0.0,11,1.0,0.4159,0.0,Q3_complementary
